,country,description,designation,points,price,province,region_1,region_2,variety,winery,Red?,Wine_Bins
4225,US,"Pure Sauvignon Blanc, this is a light and fresh wine, with notes of lime, melon and a hint of bell pepper. It's nicely rounded off with a touch of residual sugar—a perfect thirst-quencher.",Savvy! Blanc,87,15.0,Washington,Columbia Valley (WA),Columbia Valley,Sauvignon Blanc,Vin du Lac,False,Popular: $10-15
4226,US,"I think of this as a softer Rhône equivalent of the Zinfandel-based field blend. With Grenache, Mourvèdre, Syrah and Cinsault, there's a spicy, herbal garrigue flavor to the cherry and red raspberry fruit. Crisp acidity and fine, rich tannins make it balanced and appealing and even complex.",Z Cuvee,88,15.0,California,Santa Ynez Valley,Central Coast,Rhône-style Red Blend,Zaca Mesa,True,Popular: $10-15
4227,Italy,"Allegrini's base Valpolicella blend stands out in a crowd thanks to its richer, darker and extracted overall appearance. It shows medium length and density with fresh fruit flavors and a touch of savory barbecue spice on the close.",*Unknown Wine*,87,15.0,Veneto,Valpolicella,Valpolicella,"Corvina, Rondinella, Molinara",Allegrini,True,Popular: $10-15
4228,France,"This widely available wine delivers aromas of cherries, leather and Provençal herbs upfront, followed by a silky texture on the palate and hints of cocoa. Drink it over the next few years.",Belleruche,89,15.0,Rhône Valley,Côtes du Rhône,Côtes du Rhône,Grenache-Syrah,M. Chapoutier,True,Popular: $10-15
4229,New Zealand,"Straightforward and fruity, with papaya and orange notes that turn crisper and more citrusy on the palate. It's a clean, fresh, unoaked style that finishes with lemon and green apple tartness. Imported by Kono USA.",Unoaked,86,15.0,Marlborough,Marlborough,Marlborough,Chardonnay,Kono,False,Popular: $10-15
4230,Chile,"The nose on this racy Viognier is mostly tropical. In the mouth, this is lifted, tangy and acidic, with citrusy flavors of lime, lemon and green appple. A tangy, fresh, zesty finish with a lemon-based flavor is refreshing but angular.",La Joya Gran Reserva,85,15.0,Colchagua Valley,Colchagua Valley,Colchagua Valley,Viognier,Viña Bisquertt,False,Popular: $10-15
4231,Italy,"This is lighter Barbera showing a pleasant very ripe, plummy character. The wine has evolved early, and gives a seamless backdrop to the pretty flavors of spice and Christmas pudding. Easygoing and complex. Imported by MW Imports.",*Unknown Wine*,87,15.0,Piedmont,Barbera d'Alba,Barbera d'Alba,Barbera,Pertinace,True,Popular: $10-15
4232,US,"Although basically an earthy wine that was most likely produced from vineyards where the yields were stretched to the max to keep the price down, it does have its charms. You'll find enough black-cherry flavors to satisfy, and the tannins are soft and firm. It's dry as dust. The right foods (perhaps roast pork) will coax out its inherent sweetness.",Reserve Coastal,83,15.0,California,California,California Other,Merlot,Callaway,True,Popular: $10-15
4233,US,"Here's a young, lusty, grapey Zinfandel that really gets the tastebuds watering. Crisp acidity stimulates the palate, while rich, dry flavors reward it with an array of briary blackberries, cherries, chocolate, tobacco and spices. Textbook Dry Creek Zinfandel.",Mother Clone,88,15.0,California,Dry Creek Valley,Sonoma,Zinfandel,Pedroncelli,True,Popular: $10-15
4234,Portugal,"There is a rich blend of Aragonez, Touriga Nacional, Trincadeira and Syrah in this full, ripe, black-fruit tinged wine. It is already open and generous, with wood spice tones and a smooth texture. Drink now through 2018.",Mariana Tinto,90,15.0,Alentejano,Alentejano,Alentejano,Portuguese Red,Herdade do Rocim,True,Popular: $10-15
4235,South Africa,"There's a nice herbal earthiness here, giving a rustic and intriguing feel to this otherwise ripe, dark-fruit-dominant wine. Black plum, cherry and berry fill the midpalate, while tobacco and pepper spice take center stage on the finish. Approachable and lively now with good balance and soft tannins.",Silkbush Mountain Vineyards,88,15.0,Breedekloof,Breedekloof,Breedekloof,Pinotage,Lions Drift,True,Popular: $10-15
4236,South Africa,"Opaque and hard to read, with deep, toasty, menthol-tinged oak over dark and dense fruit. Built for the cellar. Taut structure and firm   tannins here demand keeping both the wine until 2006–7.",Klein Babylons Toren,87,15.0,Paarl,Paarl,Paarl,Cabernet Sauvignon-Merlot,Backsberg,True,Popular: $10-15
4237,Australia,"Shows peanutty, brambly aromas, and a smooth texture on the palate. Sour cherry flavors dominate at first, but open to encompass plummy, wheaty notes, too.",*Unknown Wine*,87,15.0,Western Australia,Great Southern,Great Southern,Shiraz,Mermaid Ridge,True,Popular: $10-15
4238,Australia,"An apéritif-style wine. It's lean and crisp in the mouth, but not a flavor explosion. Aromas and flavors are understated, with hints of peach and pear. Finishes with a lingering unctuousness.",Selections Chain of Ponds,86,15.0,South Australia,Adelaide Hills,Adelaide Hills,Sauvignon Blanc,Marquee,False,Popular: $10-15
4025,Italy,"This pristine expression of Grillo opens with dry aromas of hay and crushed white stone followed by melon, citrus, pear and white almond. There's a spicy touch of white pepper on the close.",Altavilla della Corte,87,15.0,Sicily & Sardinia,Sicilia,Sicilia,Grillo,Firriato,True,Popular: $10-15
4271,US,"Intensely floral, with scents of gardenia and tea roses, Dr. Frank's semidry Riesling is intense in peach and apricot flavors, but bristles with a tart apple-skin bite and nervy acidity. Long on the finish, with a lingering fruit-and-floral perfume.",Semi Dry,89,15.0,New York,Finger Lakes,Finger Lakes,Riesling,Dr. Konstantin Frank,False,Popular: $10-15
4023,US,"This popular Chardonnay gives you a generous burst of buttered nuts and toast, the flavors many consumers want in their Chardonnays. Not much going on in the fruit department—just clean, tart green apples, with a sharp, acidic edge.",H3,87,15.0,Washington,Horse Heaven Hills,Columbia Valley,Chardonnay,Columbia Crest,False,Popular: $10-15
3814,US,"A routine, although entirely drinkable, Merlot. It's very dry and tart in acidity, with pleasant tobacco and sour cherry candy flavors.",*Unknown Wine*,85,15.0,California,California,California Other,Merlot,Stonehedge,True,Popular: $10-15
3807,US,"On the sweet side, this offers a soft texture, a slightly bitter edge and a pruny fruit flavor.",Bull's Blush,80,15.0,Virginia,Virginia,Virginia,Rosé,Stanburn,True,Popular: $10-15
3808,US,"A lovely, clean Sauvignon Blanc. With no oak, it stars ripe lemon, lime, pineapple, green apple and pear flavors, with the peppery spices the variety displays at its best.",Lazarie,88,15.0,California,Dry Creek Valley,Sonoma,Sauvignon Blanc,Barber,False,Popular: $10-15
3809,US,"Like liquid toasted cinnamon, this Cabernet Sauvignon is texturally harsh.",Estate grown,82,15.0,California,Lodi,Central Valley,Cabernet Sauvignon,LangeTwins,True,Popular: $10-15
3810,US,"A Riesling that's quite sweet, its best feature is its perfumed, flowery nose. It's tropical flavors come off as slightly too sweet, so try pairing it with a simple pear tart.",*Unknown Wine*,85,15.0,California,Arroyo Seco,Central Coast,Riesling,Fenestra,False,Popular: $10-15
3811,US,"This is succulent yet delicate, with dried hay and sweet grass flavors. Textural, vivid and racy, it has a Loire-like mix of fruit, flower and herb, with the possibility of improving still further over the next 4–5 years.",*Unknown Wine*,91,15.0,Washington,Columbia Valley (WA),Columbia Valley,Sauvignon Blanc,Barons V,False,Popular: $10-15
3812,Chile,"Scratchy and herbal on the nose, this has dry raspberry aromas. It feels fresh, raw and racy, with cherry, red currant, rhubarb and an herb component to the flavor profile. It's vital but edgy feeling on the finish.",Quatro,86,15.0,Colchagua Valley,Colchagua Valley,Colchagua Valley,Red Blend,MontGras,True,Popular: $10-15
3813,US,"This is a big, sweet, extracted wine, for those who like Chardonnay packed with fruit. It tastes like buttered popcorn, orange jam, gingerbread and vanilla caramel.",Lot #6,85,15.0,California,Sonoma Coast,Sonoma,Chardonnay,Tangley Oaks,False,Popular: $10-15
3815,France,"Labeled Pinot d'Alsace to indicate it's a blend dominated by Pinot Blanc, it's ripe and very fruity with its pear and peach fruit flavors prominent. It has weight, spice, richness and a rounded, full texture. Not a wine for aging, but enjoyable over the next two to three years.",Métiss,87,15.0,Alsace,Alsace,Alsace,Alsace white blend,Domaine Bott-Geyl,False,Popular: $10-15
3805,Austria,"Bright and attractively fruity, this has pear and green apple flavors, with a lemon zest tang. Drink over the next year. Screwcap.",Trie White,85,15.0,Burgenland,Burgenland,Burgenland,Austrian white blend,Gunter Triebaumer,False,Popular: $10-15
3816,US,"Made in the popular style, this will find plenty of fans. It's sweet and creamy in buttered toast, pineapple and pear flavors.",*Unknown Wine*,85,15.0,California,Russian River Valley,Sonoma,Chardonnay,Picket Fence,False,Popular: $10-15
3817,Spain,"Plum, berry and a noticeable oaky streak define the bouquet on this well-built Rioja. Flavors of raspberry and plum are creamy and end with thickness and full-bodied grip that's balanced off by good acidity. This is perfectly good, healthy and adequately fruity, yet woody.",Viña Zaco,87,15.0,Northern Spain,Rioja,Rioja,Tempranillo,Bodegas Bilbainas,True,Popular: $10-15
3818,Spain,"This is a bit wayward and cheesy on the nose, but on the palate it's good and smooth. It tastes sweet, with a burnt brown-sugar flavor and mild bitterness on the back palate. The finish is sweet and slightly maderized.",Mas Suau Brut Rosé,85,15.0,Catalonia,Cava,Cava,Sparkling Blend,Ferré I Catasús,True,Popular: $10-15
3819,France,"This is a gentle wine that has some weight and richness. Its fruit is soft, ripe and warm.",Cep d'Or,84,15.0,Provence,Côtes de Provence,Côtes de Provence,Rosé,Les Maîtres Vignerons de la Presqu'île de Saint-Tropez,True,Popular: $10-15
3820,US,"This sturdy red is a blend of four Bordeaux grapes, with a tannic, earthy structure. It has the sort of rugged power that you'd look for in a café wine, ready to take on a juicy burger and some fries.",Hidden Horse,85,15.0,Washington,Washington,Washington Other,Bordeaux-style Red Blend,Two Mountain,True,Popular: $10-15
3821,Hungary,"A delicate honeycomb flavor fringes pleasant apple and white flower notes on this dry, refreshing Tokaji blend. Lemony acidity adds structure and length to the finish. This is good introduction to Tokaji for those who prefer a dry style.",Dry,86,15.0,Tokaji,Tokaji,Tokaji,Tokaji,Chateau Dereszla,False,Popular: $10-15
3822,Spain,"This is fresh on the nose, with peach, green banana and mineral aromas. The palate feels citrusy and racy, with lemon, green apple and gooseberry flavors, while the finish is cleansing and quick. This is lean, sassy and ready to drink.",Covello,86,15.0,Galicia,Rías Baixas,Rías Baixas,Albariño,Lo Nuevo,True,Popular: $10-15
3806,US,"Juicy and rich in cassis and Bing cherry fruit, Conservancy is always a reliable value-priced option, its tannins thick and the wine otherwise full-bodied and hinting at chocolate spice.",Conservancy,87,15.0,California,Livermore Valley,Central Coast,Cabernet Sauvignon,Concannon,True,Popular: $10-15
3804,US,"Light raspberry fruit is enhanced by generous layers of coffee and chocolate. Aromatic and inviting, especially at this price, it brings in a hint of the barnyard on the gently fading finish.",*Unknown Wine*,87,15.0,Washington,Columbia Valley (WA),Columbia Valley,Syrah,Blacksmith,True,Popular: $10-15
3824,US,"Savory on the nose and palate, with a slightly dusty apple note that lingers amidst whiffs of vanilla, spice, potpourri and sweet cream. Big in body and alcohol.",*Unknown Wine*,85,15.0,Idaho,Idaho,Idaho,Chardonnay,Pend d'Oreille,False,Popular: $10-15
3794,US,"This is an unusual blend of Grenache and Pinot Noir, which are not often combined, neither in California nor in France. The winemaker is Jess Pisoni, and he has crafted a highly likeable blush. Pale in color and delicate in the mouth, it has ever-so-slightly lush flavors of orange tea, peaches and vanilla. The acidity is wonderful.",*Unknown Wine*,90,15.0,California,Central Coast,Central Coast,Rosé,Luli,True,Popular: $10-15
3787,Spain,"Maderized aromas of applesauce and dust are not terribly welcoming. Meanwhile, the palate is mild and tastes nutty, like soft apples and spice. This is acceptable barrel-fermented Viura but it lacks freshness and character.",Conde de Valdemar Finca Alto Cantabria,82,15.0,Northern Spain,Rioja,Rioja,Viura,Bodegas Valdemar,False,Popular: $10-15
3788,US,"With overtones of lemon, vanilla and oak, this fleshy Semillon tastes big and needs strong flavors to complement its heft. The finish features a lingering richness.",Ghielmetti Vineyard,86,15.0,California,Livermore Valley,Central Coast,Sémillon,Fenestra,False,Popular: $10-15
3789,Argentina,"Stalky, waxy aromas get this subpar varietal white going in the wrong direction. In the mouth, it's mushy, with creamy, briny, almost bitter flavors.",*Unknown Wine*,81,15.0,Mendoza Province,Mendoza,Mendoza,Sémillon,Bodega Carmine Granata,False,Popular: $10-15
3790,Portugal,Very juicy—intensely so—this is a wine dominated by red-berry flavor. It has a rustic edge with barnyard aromas softened by notes from oak aging. Acidity on the finish confirms the wine's inherent freshness.,Pegos Claros,87,15.0,Palmela,Palmela,Palmela,Castelão,Wines & Winemakers,True,Popular: $10-15
3791,US,"There's a slightly baked quality to the ripe, red-cherry notes on this dry, full-bodied Cab. Hints of savory dried herbs and chalky, mouthfilling tannins add dimension to the palate.",New York Premium Selection,84,15.0,New York,New York,New York Other,Cabernet Sauvignon,Brotherhood,True,Popular: $10-15
3792,Spain,"This basic Ribera smells a lot like compost. The feel is sticky, while the flavors lean towards herbal and oaky, with a weedy note thrown in. It tastes a bit green and feels weighty on the finish.",La Casa de las Esencias Crianza,84,15.0,Northern Spain,Ribera del Duero,Ribera del Duero,Tempranillo,Pico Cuadro,True,Popular: $10-15
3793,US,"No one in Washington makes better Semillon at this price. Dry and subtle, it benefits from blending with 10% Sauvignon Blanc, showing bright citrus rind, light toast, and excellent length.",*Unknown Wine*,90,15.0,Washington,Columbia Valley (WA),Columbia Valley,Sémillon,L'Ecole No. 41,False,Popular: $10-15
3795,Chile,"There's no denying this wine's green character, which blends with aromas of hay, red berry and scratchiness. On the palate, it feels a bit syrupy, countered by acidity. It tastes savory, with sweet, chocolaty and barbecued flavors. It turns oakier on the finish.",Limited Selection - Apalta Vineyard,86,15.0,Colchagua Valley,Colchagua Valley,Colchagua Valley,Carmenère,Montes,True,Popular: $10-15
3803,Portugal,"A bold, powerful wine, showing smooth, mature black-fruit flavors and rich tannins. It is soft, solid and powerfully built. Wood aging has given extra roundness and a touch of spice to the palate. Drink this wine now and until 2018.",Reserva,91,15.0,Alentejo,Alentejo,Alentejo,Portuguese Red,Herdade dos Machados,True,Popular: $10-15
3796,Italy,"“Bolle,” which is Italian for “bubbles,” plays up its cheerful and playful side with bright aromas of citrus, peach, passion fruit and green apple. It washes down easily thanks to the wine's natural acidity.",Bolle,86,15.0,Veneto,Prosecco,Prosecco,Glera,Botter,False,Popular: $10-15
3797,Portugal,"Herbaceous and crisp, this is a tangy wine, driven by lemon zest and fresh acidity. It's cool, clean, bright and fruity. Ready to drink now.",*Unknown Wine*,86,15.0,Alentejano,Alentejano,Alentejano,Portuguese White,Terra d'Alter,False,Popular: $10-15
3798,Spain,"Briny white-fruit aromas and yeasty notes comprise the nose. This is compact on the palate and not showing much in the way of bubbles, while flavors of pickled melon and green apple finish with a briny suggestion of vinaigrette.",Cristalino Brut Nature,86,15.0,Catalonia,Cava,Cava,Sparkling Blend,Jaume Serra,True,Popular: $10-15
3799,Israel,"Scents of licorice root, bramble and a soft menthol note grace this balanced Shiraz's black cherry, raspberry and boysenberry fruit. This is medium weight, with moderate tannins and an approachable structure. A note of roasted espresso bean and a hint of chicory carry through the long finish. Mevushal.",*Unknown Wine*,90,15.0,Galilee,Galilee,Galilee,Shiraz,Recanati,True,Popular: $10-15
3800,Spain,"Dense berry aromas give this wine a pasty, weighty bouquet. It feels scratchy in the mouth, with plum and red-fruit flavors. This wine runs short on  specifics while offering a juicy feel and a hint of chocolaty young oak on the finish.",Contadero Joven,86,15.0,Northern Spain,Toro,Toro,Tinta de Toro,Bodegas Campiña,True,Popular: $10-15
3801,US,"Sweet smelling notes of cherry pie and spice introduce this rich, concentrated Pinot Noir full of slightly ruddy redcherry and plum fruit. Vibrant acidity and soft tannins add backbone and composure.",*Unknown Wine*,86,15.0,New York,Finger Lakes,Finger Lakes,Pinot Noir,Hosmer,True,Popular: $10-15
3802,US,"There's good Santa Barbara character in this Chardonnay, with brisk acidity and minerality girding the tropical fruit and peach flavors. It's a little thin, but elegantly structured.",Limited Production,86,15.0,California,Santa Barbara County,Central Coast,Chardonnay,Magistrate,False,Popular: $10-15
3823,Italy,"This offers plum and dried tobacco-leaf aromas, with a hint of toasted almond. The palate delivers prune and berry flavors alongside green pepper, espresso and toasted oak accents. This will pair well with hearty Tuscan soups.",*Unknown Wine*,87,15.0,Tuscany,Chianti Classico,Chianti Classico,Red Blend,Cecchi,True,Popular: $10-15
3825,Italy,"Le Segreta is an easy, popular red wine from Sicily that offers the wild berry, fennel, cola and almond-like aromas associated with the beautiful Mediterranean island. The mouthfeel is informal and crisp.",La Segreta,87,15.0,Sicily & Sardinia,Sicilia,Sicilia,Red Blend,Planeta,True,Popular: $10-15
3865,Spain,"Apple and melon aromas are pure and minerally. The palate is round and offers good density and acidic balance along with tasty, better-than-normal melon, papaya and apple flavors. Creamy but balanced on the finish; meets or beats any reasonable expectation for fine Albariño.",*Unknown Wine*,90,15.0,Galicia,Rías Baixas,Rías Baixas,Albariño,Condes de Albarei,True,Popular: $10-15
3855,France,"Dry, crisp, nervy wine, based around bright acidity. It has a steely edge, a dry, mineral core and a strong bite of citrus. It's still a young wine, needing 2–3 years to soften.",Vendanges Manuelles Collection,86,15.0,Alsace,Alsace,Alsace,Riesling,Cave de Ribeauvillé,False,Popular: $10-15
3848,Italy,"Fresh, clean and easy, this would taste great at an outdoor pool party or during a sunny lunch outdoors. It delivers fresh crispness, with lingering tones of green apple and passion fruit.",La Vi Extra Dry,85,15.0,Veneto,Prosecco,Prosecco,Glera,Canevel,False,Popular: $10-15
3849,France,"The off-dry version of Vaugondy's Vouvray brings out ripe apple as well as pineapple and lemon flavors. It is still crisp, packed with acidity, rounded out with finishing sweetness.",Demi-Sec,87,15.0,Loire Valley,Vouvray,Vouvray,Chenin Blanc,Domaine de Vaugondy,False,Popular: $10-15
3850,Italy,"Prior Brut is the kind of well-priced wine you'll want to have in ample supply at outdoor functions or midday weddings. It's fresh, tonic and tight with white flower and stone fruit nuances.",Prior Brut,87,15.0,Veneto,Prosecco di Conegliano e Valdobbiadene,Prosecco di Conegliano e Valdobbiadene,Glera,Bortolomiol,False,Popular: $10-15
3851,Bulgaria,"Plush and fruity, this Bulgarian Cabernet shines a spotlight on ripe, luscious black-cherry flavors. Milk chocolate and coffee notes mingle with soft, chalky tannins on the midpalate, adding substance and flair. Finishes with just a hint of green.",Surge,86,15.0,Danube River Plains,Danube River Plains,Danube River Plains,Cabernet Sauvignon,Gulbanis,True,Popular: $10-15
3852,Italy,"This is a brawny, earthy rosso that boasts ripe plum, black licorice and spice notes. It has big but smooth tannins and, despite the dense fruit, a soft texture and forward nature. This is made to be enjoyed young.",Sabazio,86,15.0,Tuscany,Rosso di Montepulciano,Rosso di Montepulciano,Red Blend,La Braccesca,True,Popular: $10-15
3853,Italy,"This Friulano from northeast Italy offers aromas of caramel, stone fruit and butterscotch, with a thick, slightly oily finish.",*Unknown Wine*,84,15.0,Northeastern Italy,Colli Orientali del Friuli,Colli Orientali del Friuli,Friulano,Villa Rubini,True,Popular: $10-15
3854,New Zealand,"A light-bodied, delicate style of Pinot Noir, with pretty cherry fruit and plenty of forest and earth complexity. Silky on the finish, with hints of tea leaf. Probably best over the next year or two.",*Unknown Wine*,87,15.0,Marlborough,Marlborough,Marlborough,Pinot Noir,Ara,True,Popular: $10-15
3856,Italy,"V90 is a soft red with bold fruit concentration and sweet aromas of jammy fruit, candied almond, vanilla and Christmas spice. It's a well-made wine with an easy approach and a bold mouthfeel.",V90,87,15.0,Sicily & Sardinia,Sicilia,Sicilia,Nero d'Avola,Brugnano,True,Popular: $10-15
3846,US,"This is a Cab made unabashedly to appeal to a broad range of palates. It's medium in weight and texture with layers of vanilla and cherry that are persistent enough to stand up to all kinds of food. A perfect burger wine, especially for a crowd.",337,85,15.0,California,Lodi,Central Valley,Cabernet Sauvignon,Noble Vines,True,Popular: $10-15
3857,Italy,"Grillo is the base for many famous Sicilian white wines including fortified Marsala. However in this case, the grape produces a crisp, fresh, easy-drinking wine that pairs with seafood or Thai mango salad.",Kados Risignolo,87,15.0,Sicily & Sardinia,Sicilia,Sicilia,Grillo,Duca di Salaparuta,True,Popular: $10-15
3858,US,"A candied citrus flavor marks this fresh, bracing, barrel-fermented Viognier from the estate vineyards. Despite low alcohol and a hint of sweetness, it retains a crisp minerality, with a finishing lick of lime rind.",Estate Vineyards,90,15.0,Washington,Wahluke Slope,Columbia Valley,Viognier,Jones of Washington,False,Popular: $10-15
3859,US,"The fruit flavors of apples and dried apricots are enhanced with notes of toasted walnuts and sweet grain. Made from estate-grown Chardonnay, this is lush and fruity, with complex detailing from having fermented in Hungarian oak puncheons.",Estate Vineyards,90,15.0,Washington,Wahluke Slope,Columbia Valley,Chardonnay,Jones of Washington,False,Popular: $10-15
3860,France,"Glimmers of game and pepper infuse the red-fruit-driven core of this wine. Plum, raspberry and cherry, dusted with notes of baking spice, flourish on the palate. Medium weight, with dusty tannins, this is reminiscent of crushed dried berries.",Grange des Rouquette Syrah-Grenache,86,15.0,Languedoc-Roussillon,Vin de Pays d'Oc,Vin de Pays d'Oc,Rhône-style Red Blend,Vignobles Boudinaud,True,Popular: $10-15
3861,Italy,"This is a textbook example of Moscato. The bouquet offers bright aromas of white flower, honey and fresh peach.",Antica Casa,86,15.0,Piedmont,Moscato d'Asti,Moscato d'Asti,Moscato,Ricossa,False,Popular: $10-15
3862,Czech Republic,"Rich, ripe blackberry and plum flavors are touched with dusty, dark mineral notes and hints of brine on this full-bodied Cabernet. It's textured on the palate with soft, furry tannins and a hint of bitterness that lingers on the finish.",*Unknown Wine*,86,15.0,Moravia,Moravia,Moravia,Cabernet Sauvignon,Vino z Czech,True,Popular: $10-15
3863,US,"Bright and juicy in cherry-red fruit, Duo is 70% Zinfandel blended with 30% Barbera, the result clear and straightforward.",Duo,86,15.0,California,Amador County,Sierra Foothills,Red Blend,Damas,True,Popular: $10-15
3847,South Africa,"Bright notes of strawberry and raspberry are backed by suggestions of carnation and talcum powder on the nose and palate of this light, vibrant Pinot Noir. A fleeting flavor of watermelon rind comes and goes on the short finish.",Unwooded,85,15.0,Franschhoek,Franschhoek,Franschhoek,Pinot Noir,Haute Cabrière,True,Popular: $10-15
3845,Spain,"Aromas of white pepper and nettle are about as fresh as it gets. The rest is falling off, with bitterness and oxidation. Acceptable but bland and bitter on the tail end.",Valdeleña,82,15.0,Northern Spain,Vino de la Tierra de Castilla y León,Vino de la Tierra de Castilla y León,Verdejo,Bodega Melgarajo,False,Popular: $10-15
3826,Italy,"La Segreta is intentionally engineered to be one of those easy Italian whites that washes down fried calamari and spaghetti con vongole. Aromas include citrus, pear, white almond and honey.",La Segreta,87,15.0,Sicily & Sardinia,Sicilia,Sicilia,White Blend,Planeta,False,Popular: $10-15
3834,Spain,"Tight on the nose but also a bit oxidized and yeasty smelling. Feels more tangy and juicy than Alvear's Fino en Rama, with forward acidity, bite and cut. Flavorwise, there's a heavy dose of nuts, apricot and citrus followed by a zesty finish.",Fino,87,15.0,Andalucia,Montilla-Moriles,Montilla-Moriles,Pedro Ximénez,Alvear,False,Popular: $10-15
3827,Italy,"A great value wine from Sicily present on restaurant lists across southern Italy, La Segreta is a famously food-friendly red blend that offers light berry, cherry, almond and spice aromas. The easy mouthfeel pairs with pasta, risotto, veal or roast chicken.",La Segreta,87,15.0,Sicily & Sardinia,Sicilia,Sicilia,Red Blend,Planeta,True,Popular: $10-15
3828,France,"Almost too fruity, the wine has red berry fruits in profusion. What is missing is the tannin to hold it together, making this a fruity wine to drink soon.",*Unknown Wine*,84,15.0,Bordeaux,Blaye Côtes de Bordeaux,Blaye Côtes de Bordeaux,Bordeaux-style Red Blend,Château la Croix Saint-Pierre,True,Popular: $10-15
3829,US,"Thick and syrupy, with candied raspberry and cherry flavors. A simple, soft little Pinot Noir that tastes as sweet as a pastry.",*Unknown Wine*,82,15.0,California,Central Coast,Central Coast,Pinot Noir,Jackhammer,True,Popular: $10-15
3830,Spain,"A funky, lean wine that's all over the place. The nose is fiery, with cardamom and notes of sweet peppers and candied berries. It feels clampy but juicy, with flavors of cumin, cardamom, sour plum and raspberry. It finishes acidic.",Ennak,82,15.0,Catalonia,Terra Alta,Terra Alta,Red Blend,Jordi Miró,True,Popular: $10-15
3831,US,"This well-made, pure Sauvignon Blanc seems to have a noticeable amount of residual sugar—not surprising in a high acid vintage such as 2011. Zesty, lightly grassy, spicy and stylish, it's fresh and rich on the palate, with a finishing streak of minerality.",*Unknown Wine*,90,15.0,Washington,Columbia Valley (WA),Columbia Valley,Sauvignon Blanc,Jones of Washington,False,Popular: $10-15
3832,US,"Greg Graziano blends 81% Sauvignon Blanc and 19% Pinot Grigio for a dynamite combination of tropical guava flavor, bracing acidity, and a pronounced hit of grapefruit on the finish.",*Unknown Wine*,86,15.0,California,Mendocino County,Mendocino/Lake Counties,Sauvignon Blanc,Graziano,False,Popular: $10-15
3833,US,"Ripe, brambly wood and plummy black-fruit flavors are concentrated in this dense, boldly structured Merlot, but shaded by tart green notes and staunch, grippy tannins.",New York Premium Selection,85,15.0,New York,New York,New York Other,Merlot,Brotherhood,True,Popular: $10-15
3835,US,"Made in the popular style, this has buttered popcorn, pineapple jam, lemon meringue pie and smoky vanilla flavors. It seems a little sweet, but brisk in acidity.",*Unknown Wine*,85,15.0,California,Sonoma County,Sonoma,Chardonnay,Buena Vista,False,Popular: $10-15
3843,US,"This is a strongly flavored wine, offering a blast of vanilla, buttered toast, caramel, honey, and orange and apricot jam flavors.",Limited Production,84,15.0,California,Santa Barbara County,Central Coast,Chardonnay,Magistrate,False,Popular: $10-15
3836,Portugal,"Cabernet Sauvignon in the cool Lisboa region has a similarity to Bordeaux. It gives a structured, black currant flavored wine, with firm tannins, a mineral texture and serious acidity. The wine is tight and should age well. Drink from 2014.",Quinta de Pancas,90,15.0,Lisboa,Lisboa,Lisboa,Cabernet Sauvignon,Companhia das Quintas,True,Popular: $10-15
3837,US,"Honey and lanolin notes add an unctuous vibe to sweet, concentrated peach and honeysuckle flavors in this semidry Riesling. Its straightforward in its appeal, yet undeniably balanced. Bright acidity and a clean, dry finish make it a welcome companion to everything from veal schnitzel to Chinese takeout.",Semidry,87,15.0,New York,Finger Lakes,Finger Lakes,Riesling,Chateau Lafayette Reneau,False,Popular: $10-15
3838,Italy,"This fresh Grillo with fruit sourced from inland Sicily offers tonic aromas of zesty lime, Granny Smith apple, spice and exotic fruit. You'll also enjoy the note of nutmeg on the close.",*Unknown Wine*,87,15.0,Sicily & Sardinia,Sicilia,Sicilia,Grillo,Feudo Montoni,True,Popular: $10-15
3839,US,"While delicate on the nose with scents of orange blossoms and fresh apples, there's a density on the palate of this dry Riesling that adds structure and style. Brisk with lemon-line acidity, its clean finish ends with a zesty lemon pith note.",Dry,87,15.0,New York,Finger Lakes,Finger Lakes,Riesling,Dr. Konstantin Frank,False,Popular: $10-15
3840,US,"Using grapes sourced primarily from Lodi, this Merlot is oaky and smoky, expressing an aroma of cooked black olive. It also features a subtle and toasty berry cobbler flavor, and the finish is all cedar and caramel.",*Unknown Wine*,85,15.0,California,California,California Other,Merlot,Spellbound,True,Popular: $10-15
3841,US,"This Merlot is soft, simple and seemingly sweet in fruit and oak. With ripe cherry, mocha and spice flavors, it will partner well with a cheeseburger.",*Unknown Wine*,85,15.0,California,Sonoma County,Sonoma,Merlot,Buena Vista,True,Popular: $10-15
3842,Spain,"Soft and stewy up front, without a whole lot of vigor. It feels wide and hard, with abrasive tannins and strained flavors of herbal berry and leather. On the finish it's earthy, tannic and warm, with a weedy note along with barrel spice.",Roble,83,15.0,Northern Spain,Toro,Toro,Tinta de Toro,Taurus,True,Popular: $10-15
3786,Italy,"This leads with violet, berry and chocolate aromas, followed by plum and black cherry flavors laced with hints of espresso. It's simply structured with fresh acidity and solid tannins.",*Unknown Wine*,86,15.0,Tuscany,Chianti Classico,Chianti Classico,Red Blend,Agricoltori del Chianti Geografico,True,Popular: $10-15
3785,US,"Pretty good for its price, this wine shows classic Pinot character in its light, silky mouthfeel and zesty flavors of cherry and ripe persimmon. Although it's a little too sweet, many consumers will like that.",*Unknown Wine*,85,15.0,California,Sonoma County,Sonoma,Pinot Noir,Buena Vista,True,Popular: $10-15
